TABLE 6B - NEW PROCEDURE CODES
Procedure Code	Description	O.R.	MDC	MS-DRG
XNSN0HB*	Reposition Right Pelvic Bone with Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device, Open Approach, New Technology Group 11	Y	08	515, 516, 517
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNSN3HB*	Reposition Right Pelvic Bone with Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device, Percutaneous Approach, New Technology Group 11	Y	08	515, 516, 517
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNSP0HB*	Reposition Left Pelvic Bone with Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device, Open Approach, New Technology Group 11	Y	08	515, 516, 517
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNSP3HB*	Reposition Left Pelvic Bone with Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device, Percutaneous Approach, New Technology Group 11	Y	08	515, 516, 517
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG10RB*	Fusion of Cervical Vertebral Joint using Custom-Made Anatomically Designed Interbody Fusion Device, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG13RB*	Fusion of Cervical Vertebral Joint using Custom-Made Anatomically Designed Interbody Fusion Device, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG14RB*	Fusion of Cervical Vertebral Joint using Custom-Made Anatomically Designed Interbody Fusion Device, Percutaneous Endoscopic Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG20RB*	Fusion of 2 or more Cervical Vertebral Joints using Custom-Made Anatomically Designed Interbody Fusion Device, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG23RB*	Fusion of 2 or more Cervical Vertebral Joints using Custom-Made Anatomically Designed Interbody Fusion Device, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG24RB*	Fusion of 2 or more Cervical Vertebral Joints using Custom-Made Anatomically Designed Interbody Fusion Device, Percutaneous Endoscopic Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG40RB*	Fusion of Cervicothoracic Vertebral Joint using Custom-Made Anatomically Designed Interbody Fusion Device, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG43RB*	Fusion of Cervicothoracic Vertebral Joint using Custom-Made Anatomically Designed Interbody Fusion Device, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRG44RB*	Fusion of Cervicothoracic Vertebral Joint using Custom-Made Anatomically Designed Interbody Fusion Device, Percutaneous Endoscopic Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	429, 430, 471, 472, 473
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRGE0HB*	Fusion of Right Sacroiliac Joint using Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	402, 426, 427, 428, 447, 448, 450, 451, 456, 457, 458
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRGE3HB*	Fusion of Right Sacroiliac Joint using Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	402, 426, 427, 428, 447, 448, 450, 451, 456, 457, 458
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRGF0HB*	Fusion of Left Sacroiliac Joint using Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	402, 426, 427, 428, 447, 448, 450, 451, 456, 457, 458
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRGF3HB*	Fusion of Left Sacroiliac Joint using Bone-Density-Specific Thread and Porosity Pattern Internal Fixation Device, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	402, 426, 427, 428, 447, 448, 450, 451, 456, 457, 458
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH10GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Cervical Vertebral Joint, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH13GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Cervical Vertebral Joint, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH14GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Cervical Vertebral Joint, Percutaneous Endoscopic Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH20GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into 2 or more Cervical Vertebral Joints, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH23GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into 2 or more Cervical Vertebral Joints, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH24GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into 2 or more Cervical Vertebral Joints, Percutaneous Endoscopic Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH40GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Cervicothoracic Vertebral Joint, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH43GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Cervicothoracic Vertebral Joint, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH44GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Cervicothoracic Vertebral Joint, Percutaneous Endoscopic Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH60GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Thoracic Vertebral Joint, Open Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH63GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Thoracic Vertebral Joint, Percutaneous Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XRH64GB*	Insertion of Molybdenum Rhenium Alloy Spinal Stabilization Device into Thoracic Vertebral Joint, Percutaneous Endoscopic Approach, New Technology Group 11	Y	01	028, 029, 030
""			08	518
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XW013TB*	Introduction of Rozanolixizumab-noli Monoclonal Antibody into Subcutaneous Tissue, Percutaneous Approach, New Technology Group 11	N		
XW033FB	Introduction of Valoctocogene Roxaparvovec-rvox into Peripheral Vein, Percutaneous Approach, New Technology Group 11	N**	PRE	018
XW033MA^	Introduction of Emapalumab-lzsg Anti-IFNy Monoclonal Antibody into Peripheral Vein, Percutaneous Approach, New Technology Group 10	N		
XW033NA^	Introduction of Tarlatamab-dlle Antineoplastic into Peripheral Vein, Percutaneous Approach, New Technology Group 10	N		
XW033PB*	Introduction of Aztreonam-avibactam Anti-infective into Peripheral Vein, Percutaneous Approach, New Technology Group 11	N		
XW033QB*	Introduction of Iloprost into Peripheral Vein, Percutaneous Approach, New Technology Group 11	N		
XW033RB*	Introduction of Letetresgene Autoleucel into Peripheral Vein, Percutaneous Approach, New Technology Group 11	N**	PRE	018
XW033WB*	Introduction of Fosfomycin Anti-infective into Peripheral Vein, Percutaneous Approach, New Technology Group 11	N		
XW043FB	Introduction of Valoctocogene Roxaparvovec-rvox into Central Vein, Percutaneous Approach, New Technology Group 11	N**	PRE	018
XW043MA^	Introduction of Emapalumab-lzsg Anti-IFNy Monoclonal Antibody into Central Vein, Percutaneous Approach, New Technology Group 10	N		
XW043NA^	Introduction of Tarlatamab-dlle Antineoplastic into Central Vein, Percutaneous Approach, New Technology Group 10	N		
XW043PB*	Introduction of Aztreonam-avibactam Anti-infective into Central Vein, Percutaneous Approach, New Technology Group 11	N		
XW043QB*	Introduction of Iloprost into Central Vein, Percutaneous Approach, New Technology Group 11	N		
XW043RB*	Introduction of Letetresgene Autoleucel into Central Vein, Percutaneous Approach, New Technology Group 11	N**	PRE	018
XW043WB*	Introduction of Fosfomycin Anti-infective into Central Vein, Percutaneous Approach, New Technology Group 11	N		
XW0DXVB*	Introduction of Xanomeline and Trospium Chloride into Mouth and Pharynx, External Approach, New Technology Group 11	N		
XW0U0XB*	Introduction of Peptide Enhanced Bone Void Filler into Joints, Open Approach, New Technology Group 11	N		
XW0U3XB*	Introduction of Peptide Enhanced Bone Void Filler into Joints, Percutaneous Approach, New Technology Group 11	N		
XW0U4XB*	Introduction of Peptide Enhanced Bone Void Filler into Joints, Percutaneous Endoscopic Approach, New Technology Group 11	N		
XW133SB*	Transfusion of Mozafancogene Autotemcel into Peripheral Vein, Percutaneous Approach, New Technology Group 11	N**	PRE	016, 017
XW133YB*	Transfusion of Nonautologous (Human) Fibrinogen Concentrate, Shelf-stable into Peripheral Vein, Percutaneous Approach, New Technology Group 11	N		
XW143SB*	Transfusion of Mozafancogene Autotemcel into Central Vein, Percutaneous Approach, New Technology Group 11	N**	PRE	016, 017
XW143YB*	Transfusion of Nonautologous (Human) Fibrinogen Concentrate, Shelf-stable into Central Vein, Percutaneous Approach, New Technology Group 11	N		
XX2KXDB*	Monitoring of Interstitial Glucose, Wearable Sensor, External Approach, New Technology Group 11	N		
XXA539B*	Circulatory Filtration, Ticagrelor, Percutaneous Approach, New Technology Group 11	N		
XXE5X5A^	Measurement of Immune Response, Whole Blood Cellular Assessment via Microfluidic Deformability, New Technology Group 10	N		
XXE5XBB*	Measurement of Infection and Immune Response, Gene Expression Testing System, New Technology Group 11	N		
XXEZXAB*	Measurement of Macronutrient Content, Computer-aided Assessment for Nutrition Management, New Technology Group 11	N		
XXEZXCB*	Measurement of Infection, Computer-aided Triage and Notification, New Technology Group 11	N		

	Notes:
	(*)-These codes were made public for the Spring 2025 ICD-10 Coordination and Maintenance Committee Update and were not finalized in time to include in the proposed rule. They will be implemented on October 1, 2025.
	(^)-These codes were implemented on April 1, 2025.
	(**)-Non-OR procedure affects DRGs
