TABLE 6B - NEW PROCEDURE CODES
Procedure Code	Description	O.R.	MDC	MS-DRG
0C1S0F4*	Bypass Larynx to Cutaneous with Tracheostomy Device, Open Approach	Y	03	143, 144, 145
""			04	166, 167, 168
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0C1S0Z4*	Bypass Larynx to Cutaneous, Open Approach	Y	03	143, 144, 145
""			04	166, 167, 168
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0C1S3E4*	Bypass Larynx to Cutaneous with Endotracheal Airway, Percutaneous Approach	Y	03	143, 144, 145
""			04	166, 167, 168
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0C1S3F4*	Bypass Larynx to Cutaneous with Tracheostomy Device, Percutaneous Approach	Y	03	143, 144, 145
""			04	166, 167, 168
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0C1S3Z4*	Bypass Larynx to Cutaneous, Percutaneous Approach	Y	03	143, 144, 145
""			04	166, 167, 168
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0CYS0Z0^	Transplantation of Larynx, Allogeneic, Open Approach	Y	03	143, 144, 145
""			04	166, 167, 168
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0CYS0Z1^	Transplantation of Larynx, Syngeneic, Open Approach	Y	03	143, 144, 145
""			04	166, 167, 168
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0DX80Z7^	Transfer Small Intestine to Vagina, Open Approach	Y	13	748
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0DX84Z7^	Transfer Small Intestine to Vagina, Percutaneous Endoscopic Approach	Y	13	748
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0F198D3*	Bypass Common Bile Duct to Duodenum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic	Y	06	356, 357, 358
""			07	408, 409, 410
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
0F198Z3*	Bypass Common Bile Duct to Duodenum, Via Natural or Artificial Opening Endoscopic	Y	06	356, 357, 358
""			07	408, 409, 410
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
