TABLE 6A - NEW DIAGNOSIS CODES
Diagnosis Code	Description	CC	MDC	MS-DRG
S31.146D	Puncture wound of abdominal wall with foreign body, right flank without penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.146S	Puncture wound of abdominal wall with foreign body, right flank without penetration into peritoneal cavity, sequela	N	09	604, 605
S31.147A	Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, initial encounter	N	21	913, 914
""			24	963, 964, 965
S31.147D	Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.147S	Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, sequela	N	09	604, 605
S31.14AA	Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, initial encounter	N	21	913, 914
""			24	963, 964, 965
S31.14AD	Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.14AS	Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, sequela	N	09	604, 605
S31.156A	Open bite of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter	N	09	604, 605
""			24	963, 964, 965
S31.156D	Open bite of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.156S	Open bite of abdominal wall, right flank without penetration into peritoneal cavity, sequela	N	09	604, 605
S31.157A	Open bite of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter	N	09	604, 605
""			24	963, 964, 965
S31.157D	Open bite of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.157S	Open bite of abdominal wall, left flank without penetration into peritoneal cavity, sequela	N	09	604, 605
S31.15AA	Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, initial encounter	N	09	604, 605
""			24	963, 964, 965
S31.15AD	Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.15AS	Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, sequela	N	09	604, 605
S31.606A	Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.606D	Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.606S	Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.607A	Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.607D	Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.607S	Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.60AA	Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.60AD	Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.60AS	Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.616A	Laceration without foreign body of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.616D	Laceration without foreign body of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.616S	Laceration without foreign body of abdominal wall, right flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.617A	Laceration without foreign body of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.617D	Laceration without foreign body of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.617S	Laceration without foreign body of abdominal wall, left flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.61AA	Laceration without foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.61AD	Laceration without foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.61AS	Laceration without foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.626A	Laceration with foreign body of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.626D	Laceration with foreign body of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.626S	Laceration with foreign body of abdominal wall, right flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.627A	Laceration with foreign body of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.627D	Laceration with foreign body of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.627S	Laceration with foreign body of abdominal wall, left flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.62AA	Laceration with foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.62AD	Laceration with foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.62AS	Laceration with foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.636A	Puncture wound of abdominal wall without foreign body, right flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.636D	Puncture wound of abdominal wall without foreign body, right flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.636S	Puncture wound of abdominal wall without foreign body, right flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.637A	Puncture wound of abdominal wall without foreign body, left flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.637D	Puncture wound of abdominal wall without foreign body, left flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.637S	Puncture wound of abdominal wall without foreign body, left flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.63AA	Puncture wound of abdominal wall without foreign body, unspecified flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.63AD	Puncture wound of abdominal wall without foreign body, unspecified flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.63AS	Puncture wound of abdominal wall without foreign body, unspecified flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.646A	Puncture wound of abdominal wall with foreign body, right flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.646D	Puncture wound of abdominal wall with foreign body, right flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.646S	Puncture wound of abdominal wall with foreign body, right flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.647A	Puncture wound of abdominal wall with foreign body, left flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.647D	Puncture wound of abdominal wall with foreign body, left flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.647S	Puncture wound of abdominal wall with foreign body, left flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.64AA	Puncture wound of abdominal wall with foreign body, unspecified flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.64AD	Puncture wound of abdominal wall with foreign body, unspecified flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.64AS	Puncture wound of abdominal wall with foreign body, unspecified flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.656A	Open bite of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.656D	Open bite of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.656S	Open bite of abdominal wall, right flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.657A	Open bite of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.657D	Open bite of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.657S	Open bite of abdominal wall, left flank with penetration into peritoneal cavity, sequela	N	09	604, 605
S31.65AA	Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter	M	06	393, 394, 395
""			24	963(3), 964(3), 965(3)
S31.65AD	Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter	N	23	949, 950
S31.65AS	Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela	N	09	604, 605
T36.AX1A	Poisoning by fluoroquinolone antibiotics, accidental (unintentional), initial encounter	N	21	917, 918
T36.AX1D	Poisoning by fluoroquinolone antibiotics, accidental (unintentional), subsequent encounter	N	23	949, 950
T36.AX1S	Poisoning by fluoroquinolone antibiotics, accidental (unintentional), sequela	N	21	922, 923
T36.AX2A	Poisoning by fluoroquinolone antibiotics, intentional self-harm, initial encounter	N	21	917, 918
T36.AX2D	Poisoning by fluoroquinolone antibiotics, intentional self-harm, subsequent encounter	N	23	949, 950
T36.AX2S	Poisoning by fluoroquinolone antibiotics, intentional self-harm, sequela	N	21	922, 923
T36.AX3A	Poisoning by fluoroquinolone antibiotics, assault, initial encounter	N	21	917, 918
T36.AX3D	Poisoning by fluoroquinolone antibiotics, assault, subsequent encounter	N	23	949, 950
T36.AX3S	Poisoning by fluoroquinolone antibiotics, assault, sequela	N	21	922, 923
T36.AX4A	Poisoning by fluoroquinolone antibiotics, undetermined, initial encounter	N	21	917, 918
T36.AX4D	Poisoning by fluoroquinolone antibiotics, undetermined, subsequent encounter	N	23	949, 950
T36.AX4S	Poisoning by fluoroquinolone antibiotics, undetermined, sequela	N	21	922, 923
T36.AX5A	Adverse effect of fluoroquinolone antibiotics, initial encounter	N	15	791(1), 793(1)
""			21	917, 918
T36.AX5D	Adverse effect of fluoroquinolone antibiotics, subsequent encounter	N	23	949, 950
T36.AX5S	Adverse effect of fluoroquinolone antibiotics, sequela	N	21	922, 923
T36.AX6A	Underdosing of fluoroquinolone antibiotics, initial encounter	N	23	951
T36.AX6D	Underdosing of fluoroquinolone antibiotics, subsequent encounter	N	23	949, 950
T36.AX6S	Underdosing of fluoroquinolone antibiotics, sequela	N	23	949, 950
T65.841A	Toxic effect of xylazine, accidental (unintentional), initial encounter	N	21	917, 918
T65.841D	Toxic effect of xylazine, accidental (unintentional), subsequent encounter	N	23	949, 950
T65.841S	Toxic effect of xylazine, accidental (unintentional), sequela	N	21	922, 923
T65.842A	Toxic effect of xylazine, intentional self-harm, initial encounter	N	21	917, 918
T65.842D	Toxic effect of xylazine, intentional self-harm, subsequent encounter	N	23	949, 950
T65.842S	Toxic effect of xylazine, intentional self-harm, sequela	N	21	922, 923
T65.843A	Toxic effect of xylazine, assault, initial encounter	N	21	917, 918
T65.843D	Toxic effect of xylazine, assault, subsequent encounter	N	23	949, 950
T65.843S	Toxic effect of xylazine, assault, sequela	N	21	922, 923
T65.844A	Toxic effect of xylazine, undetermined, initial encounter	N	21	917, 918
T65.844D	Toxic effect of xylazine, undetermined, subsequent encounter	N	23	949, 950
T65.844S	Toxic effect of xylazine, undetermined, sequela	N	21	922, 923
T75.830A	Gulf war illness, initial encounter	N	21	922, 923
T75.830D	Gulf war illness, subsequent encounter	N	23	949, 950
T75.830S	Gulf war illness, sequela	N	21	922, 923
T75.838A	Effects of other war theater, initial encounter	N	21	922, 923
T75.838D	Effects of other war theater, subsequent encounter	N	23	949, 950
T75.838S	Effects of other war theater, sequela	N	21	922, 923
T78.070A	Anaphylactic reaction due to milk and dairy products with tolerance to baked milk, initial encounter	C	21	915, 916
T78.070D	Anaphylactic reaction due to milk and dairy products with tolerance to baked milk, subsequent encounter	N	23	949, 950
T78.070S	Anaphylactic reaction due to milk and dairy products with tolerance to baked milk, sequela	N	21	922, 923
T78.071A	Anaphylactic reaction due to milk and dairy products with reactivity to baked milk, initial encounter	C	21	915, 916
T78.071D	Anaphylactic reaction due to milk and dairy products with reactivity to baked milk, subsequent encounter	N	23	949, 950
T78.071S	Anaphylactic reaction due to milk and dairy products with reactivity to baked milk, sequela	N	21	922, 923
T78.079A	Anaphylactic reaction due to milk and dairy products, unspecified, initial encounter	C	21	915, 916
T78.079D	Anaphylactic reaction due to milk and dairy products, unspecified, subsequent encounter	N	23	949, 950
T78.079S	Anaphylactic reaction due to milk and dairy products, unspecified, sequela	N	21	922, 923
T78.080A	Anaphylactic reaction due to egg with tolerance to baked egg, initial encounter	C	21	915, 916
T78.080D	Anaphylactic reaction due to egg with tolerance to baked egg, subsequent encounter	N	23	949, 950
T78.080S	Anaphylactic reaction due to egg with tolerance to baked egg, sequela	N	21	922, 923
T78.081A	Anaphylactic reaction due to egg with reactivity to baked egg, initial encounter	C	21	915, 916
T78.081D	Anaphylactic reaction due to egg with reactivity to baked egg, subsequent encounter	N	23	949, 950
T78.081S	Anaphylactic reaction due to egg with reactivity to baked egg, sequela	N	21	922, 923
T78.089A	Anaphylactic reaction due to eggs, unspecified, initial encounter	C	21	915, 916
T78.089D	Anaphylactic reaction due to eggs, unspecified, subsequent encounter	N	23	949, 950
T78.089S	Anaphylactic reaction due to eggs, unspecified, sequela	N	21	922, 923
T78.110A	Other adverse food reactions due to milk and dairy products with tolerance to baked milk, initial encounter	N	21	922, 923
T78.110D	Other adverse food reactions due to milk and dairy products with tolerance to baked milk, subsequent encounter	N	23	949, 950
T78.110S	Other adverse food reactions due to milk and dairy products with tolerance to baked milk, sequela	N	21	922, 923
T78.111A	Other adverse food reaction due to milk and dairy products with reactivity to baked milk, initial encounter	N	21	922, 923
T78.111D	Other adverse food reaction due to milk and dairy products with reactivity to baked milk, subsequent encounter	N	23	949, 950
T78.111S	Other adverse food reaction due to milk and dairy products with reactivity to baked milk, sequela	N	21	922, 923
T78.119A	Other adverse food reaction due to milk and dairy products with baked milk tolerance/reactivity, unspecified, initial encounter	N	21	922, 923
T78.119D	Other adverse food reaction due to milk and dairy products with baked milk tolerance/reactivity, unspecified, subsequent encounter	N	23	949, 950
T78.119S	Other adverse food reaction due to milk and dairy products with baked milk tolerance/reactivity, unspecified, sequela	N	21	922, 923
T78.120A	Other adverse food reaction due to egg with tolerance to baked egg, initial encounter	N	21	922, 923
T78.120D	Other adverse food reaction due to egg with tolerance to baked egg, subsequent encounter	N	23	949, 950
T78.120S	Other adverse food reaction due to egg with tolerance to baked egg, sequela	N	21	922, 923
T78.121A	Other adverse food reaction due to egg with reactivity to baked egg, initial encounter	N	21	922, 923
T78.121D	Other adverse food reaction due to egg with reactivity to baked egg, subsequent encounter	N	23	949, 950
T78.121S	Other adverse food reaction due to egg with reactivity to baked egg, sequela	N	21	922, 923
T78.129A	Other adverse food reaction due to egg with baked egg tolerance/reactivity, unspecified, initial encounter	N	21	922, 923
T78.129D	Other adverse food reaction due to egg with baked egg tolerance/reactivity, unspecified, subsequent encounter	N	23	949, 950
T78.129S	Other adverse food reaction due to egg with baked egg tolerance/reactivity, unspecified, sequela	N	21	922, 923
T78.19XA	Other adverse food reactions, not elsewhere classified, initial encounter	N	21	922, 923
T78.19XD	Other adverse food reactions, not elsewhere classified, subsequent encounter	N	23	949, 950
T78.19XS	Other adverse food reactions, not elsewhere classified, sequela	N	21	922, 923
W44.H9XA	Other sharp object entering into or through a natural orifice, initial encounter	N		
W44.H9XD	Other sharp object entering into or through a natural orifice, subsequent encounter	N		
W44.H9XS	Other sharp object entering into or through a natural orifice, sequela	N		
W45.3XXA	Fishing hook entering through skin, initial encounter	N		
W45.3XXD	Fishing hook entering through skin, subsequent encounter	N		
W45.3XXS	Fishing hook entering through skin, sequela	N		
Y36.A1XA	Low level blast overpressure in war operations, initial encounter	N		
Y36.A1XD	Low level blast overpressure in war operations, subsequent encounter	N		
Y36.A1XS	Low level blast overpressure in war operations, sequela	N		
Y36.A2XA	High level blast overpressure in war operations, initial encounter	N		
Y36.A2XD	High level blast overpressure in war operations, subsequent encounter	N		
Y36.A2XS	High level blast overpressure in war operations, sequela	N		
Y37.A1XA	Low level blast overpressure in military operations, initial encounter	N		
Y37.A1XD	Low level blast overpressure in military operations, subsequent encounter	N		
Y37.A1XS	Low level blast overpressure in military operations, sequela	N		
Y37.A2XA	High level blast overpressure in military operations, initial encounter	N		
Y37.A2XD	High level blast overpressure in military operations, subsequent encounter	N		
Y37.A2XS	High level blast overpressure in military operations, sequela	N		
Y93.L1	Activity, splitting wood	N		
Y93.L9	Activity, other outdoor activity	N		
Z15.05	Genetic susceptibility to malignant neoplasm of fallopian tube(s)	N	23	951
Z15.060	Genetic susceptibility to colorectal cancer	N	23	951
Z15.068	Genetic susceptibility to other malignant neoplasm of digestive system	N	23	951
Z15.07	Genetic susceptibility to malignant neoplasm of urinary tract	N	23	951
Z15.3	Genetic susceptibility to kidney disease	N	23	951
Z40.81	Encounter for prophylactic surgery for removal of ovary(s) for persons without known genetic/familial risk factors	N	13	742, 743, 760, 761
Z40.82	Encounter for prophylactic surgery for removal of fallopian tube(s) for persons without known genetic/familial risk factors	N	13	742, 743, 760, 761
Z40.89	Encounter for other prophylactic surgery	N	23	951
Z59.861	Financial insecurity, difficulty paying for utilities	N	23	951
Z59.868	Other specified financial insecurity	N	23	951
Z59.869	Financial insecurity, unspecified	N	23	951
Z77.31	Contact with and (suspected) exposure to Gulf War theater	N	23	951
Z77.39	Contact with and (suspected) exposure to other war theater	N	23	951
Z80.44	Family history of malignant neoplasm of fallopian tube(s)	N	23	951
Z84.11	Family history of APOL1-mediated kidney disease [AMKD]	N	23	951
Z84.19	Family history of other disorders of kidney and ureter	N	23	951
Z84.A	Family history of exposure to diethylstilbestrol	N	23	951
Z85.4A	Personal history of malignant neoplasm of fallopian tube(s)	N	17	826, 827, 828, 829, 830, 843, 844, 845
Z86.00A	Personal history of in-situ neoplasm of the fallopian tube(s)	N	23	951
Z91.0110	Allergy to milk products, unspecified	N	23	951
Z91.0111	Allergy to milk products with tolerance to baked milk	N	23	951
Z91.0112	Allergy to milk products with reactivity to baked milk	N	23	951
Z91.0120	Allergy to eggs, unspecified	N	23	951
Z91.0121	Allergy to eggs with tolerance to baked egg	N	23	951
Z91.0122	Allergy to eggs with reactivity to baked egg	N	23	951
Z91.B	Personal risk factor of exposure to diethylstilbestrol	N	23	951

	Notes:
	(1)-On newborn major problem list
	(2)-In combination with SDX of HIV
	(3)-Significant trauma body site - abdominal
