DRG_Cd,DRG_Desc,HH_Cases,HH_%,ESC_Cases,ESC_%,Nat_Cases,Nat_%,Diff_vs_Nat_%,Diff_vs_ESC_%,Ratio_vs_Nat
003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",14.0,0.15200868621064062,359.0,0.115138278185626,6749,0.13627513159565882,0.0157335546149818,0.03687040802501462,1.1154543344097787
004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",17.0,0.18458197611292074,296.0,0.09493295360151893,3589,0.07246872830001772,0.11211324781290302,0.0896490225114018,2.547056922935898
023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,36.0,0.39087947882736157,780.0,0.25016116151751605,11805,0.2383653768686846,0.15251410195867698,0.14071831730984552,1.6398332843561292
024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,30.0,0.32573289902280134,203.0,0.06510604588212278,2804,0.05661808697499294,0.2691148120478084,0.26062685314067857,5.753159748521192
025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,52.0,0.5646036916395223,1174.0,0.37652462002764603,20790,0.41978959636594265,0.14481409527357963,0.18807907161187626,1.3449682806034597
026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,14.0,0.15200868621064062,179.0,0.057408779373891515,3933,0.07941474182334066,0.07259394438729996,0.0945999068367491,1.9141116966518172
027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,21.0,0.2280130293159609,310.0,0.0994230257313205,5562,0.11230734656023919,0.11570568275572171,0.1285900035846404,2.030259251060301
036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,21.0,0.2280130293159609,607.0,0.19467669877068242,4852,0.09797109771849705,0.13004193159746386,0.033336330545278486,2.327349949381161
038,EXTRACRANIAL PROCEDURES WITH CC,18.0,0.19543973941368079,250.0,0.08017985946074234,3458,0.06982358942921739,0.1256161499844634,0.11525987995293845,2.7990503067993213
039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,50.0,0.5428881650380022,741.0,0.23765310344164028,7739,0.1562651123749894,0.3866230526630128,0.30523506159636193,3.4741482394050527
